id,name,tier,confidence,pattern_a,pattern_b,mor_as_cd,current_MAT_pos,current_MAT_sal,current_CD_pos,current_CD_sal,current_CU_pos,current_CU_sal,current_MOR_pos,current_MOR_sal,current_PRO_pos,current_PRO_sal,current_COM_pos,current_COM_sal,current_ZS_pos,current_ZS_sal,current_ONT_H_pos,current_ONT_H_sal,current_ONT_S_pos,current_ONT_S_sal,current_PF_pos,current_TRB_pos,current_ENG_pos,proposed_MAT_pos,proposed_MAT_sal,proposed_CD_pos,proposed_CD_sal,proposed_CU_pos,proposed_CU_sal,proposed_MOR_pos,proposed_MOR_sal,proposed_PRO_pos,proposed_PRO_sal,proposed_COM_pos,proposed_COM_sal,proposed_ZS_pos,proposed_ZS_sal,proposed_ONT_H_pos,proposed_ONT_H_sal,proposed_ONT_S_pos,proposed_ONT_S_sal,proposed_PF_pos,proposed_TRB_pos,proposed_ENG_pos,priority_node_changes,evidence_note
107,Resentful Localist,T1,LOW,N,N,N,3,2,4,2,3,2,2,2,1,2,1,2,5,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,Resentful Localist coding plausible — local-grievance with mid CU.
108,Passive Cynic,T1,LOW,N,N,N,3,0,3,0,3,0,2,1,1,2,3,0,4,2,1,2,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,Passive Cynic — nihilist-dominant EPS coding consistent. ONT_H/S=1 fits disengaged cynicism.
109,Alienated Outsider,T1,LOW,N,N,N,3,1,3,1,3,1,4,2,1,2,1,2,4,2,1,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,Alienated Outsider — autonomous EPS dominant. MOR=4 (wide) plausible if outsider == ethical exile. Coding consistent.
110,Principled Abstainer,T1,LOW,N,N,N,3,1,3,1,4,2,5,3,1,3,1,1,4,2,4,2,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,Principled Abstainer MOR=5/PRO=1 fits Garrison-purist refusal-to-vote tradition.
111,Cosmopolitan Nonconformist,T1,LOW,N,N,N,3,0,1,2,5,2,4,1,1,2,3,0,3,0,3,0,3,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,Cosmopolitan Nonconformist coding consistent — autonomous EPS + cosmopolitan profile.
112,Engaged Cosmopolitan,T1,LOW,N,N,N,3,1,2,1,4,2,4,2,2,1,3,1,3,1,4,2,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,Engaged Cosmopolitan coding consistent.
113,Disaffected Contrarian,T1,LOW,N,N,N,3,1,2,2,3,1,1,2,1,3,1,2,5,3,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,Disaffected Contrarian — nihilist EPS dominant. MOR=1 narrow fits cynical/contrarian.
114,Political Nihilist,T1,LOW,N,N,N,3,0,3,0,3,0,1,3,1,3,1,2,5,3,1,3,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,Political Nihilist — flat all-policy + nihilist EPS. Consistent.
115,Quietist,T1,LOW,N,N,N,3,1,3,0,3,0,2,2,1,2,2,1,3,0,4,2,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,Quietist coding consistent.
116,Quiet Middle,T1,LOW,N,N,N,3,1,3,1,3,1,3,2,3,2,3,2,1,2,2,2,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Quiet Middle centristAnchor. ONT_H=2 mild. Coding consistent.
117,Comfortable Bystander,T1,LOW,N,N,N,3,1,3,2,3,1,1,1,4,2,5,1,1,1,2,1,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Comfortable Bystander coding consistent.
118,Survival Pragmatist,T1,LOW,N,N,N,2,2,3,1,3,1,3,1,3,1,3,1,4,2,1,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Survival Pragmatist coding consistent.
119,Apolitical Striver,T1,LOW,N,N,N,5,2,3,0,3,0,3,0,2,1,2,1,2,1,4,1,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,Apolitical Striver MAT=5 strong + flat else. Consistent.
120,Good Neighbor,T1,LOW,N,N,N,2,1,4,2,3,3,5,3,3,1,5,2,2,2,3,2,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,Good Neighbor MOR=5 wide + CD=4 mild-traditional + COM=5 max-compromise. Plausible centrist-religious-progressive-leaning. Coding consistent.
121,Spectator Citizen,T1,LOW,N,N,N,3,2,3,2,4,1,3,3,4,3,3,2,2,1,4,1,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Spectator Citizen coding consistent.
122,Civic Minimalist,T1,LOW,N,N,N,3,0,4,1,3,0,4,1,5,2,2,1,2,1,3,0,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,Civic Minimalist centristAnchor. Coding consistent.
124,Latent Alarmist,T1,LOW,N,N,N,3,0,3,0,3,0,3,0,2,1,2,2,4,2,3,0,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,Latent Alarmist coding consistent — flat values + mild ONT_S/ZS signal.
125,Reluctant Partisan,T1,LOW,N,N,N,3,0,3,0,3,0,3,0,4,2,4,2,3,1,3,0,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,Reluctant Partisan coding consistent.
126,Uncompromising Activist,T1,LOW,N,N,N,3,0,3,0,3,0,4,1,2,1,1,2,3,1,3,0,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,Uncompromising Activist coding consistent.
127,Tribal Loyalist,T1,LOW,N,N,N,3,0,4,1,3,0,2,1,3,0,1,2,3,1,3,0,2,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,Tribal Loyalist coding consistent.
128,Loyal Democrat,T1,LOW,N,N,N,2,1,3,0,4,1,4,1,3,0,2,1,3,1,3,0,2,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,Loyal Democrat coding consistent.
129,Loyal Republican,T1,LOW,N,N,N,4,1,4,1,3,1,2,1,3,0,2,1,3,1,3,0,2,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,Loyal Republican coding consistent.
131,Duty Voter,T1,LOW,N,N,N,3,1,4,2,3,1,4,2,5,2,2,2,3,1,3,1,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Duty Voter coding consistent.
132,Negative Partisan,T1,LOW,N,N,N,3,0,3,0,3,0,3,0,3,0,2,1,5,2,3,0,1,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,Negative Partisan coding consistent.
134,Progressive Civic Nationalist,T1,LOW,N,N,N,1,3,2,1,3,2,4,2,4,2,4,2,2,1,4,1,4,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,Progressive Civic Nationalist already comprehensively re-encoded 2026-04-24. ONT_S=4 already corrected per ADR-010. Coding consistent.
135,Disruptive Cosmopolitan,T1,MEDIUM,N,N,N,5,2,1,2,5,2,5,2,1,2,1,1,1,1,4,2,4,1,1,1,,,,,,,,,,3,2,,,,,,,,,,,,PRO,"Disruptive Cosmopolitan PRO=1 anti-procedural max — but cosmopolitans typically use international/legal institutions. PRO=3 fits 'disruptive but not nihilist'. ONT_S=4 correct. CU=5/MOR=5 cosmopolitan-correct."
136,Aspirational Traditionalist,T1,LOW,N,N,N,5,2,4,2,2,2,2,2,3,2,3,1,2,1,4,2,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,Aspirational Traditionalist coding consistent — already corrected per inline notes.
137,Moral Crusader,T1,LOW,N,N,N,4,1,4,2,2,1,5,3,2,2,2,1,4,2,2,1,3,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,Moral Crusader MOR=5 (wide-universal) is unusual for crusader — crusaders typically have a moral mission but practiced narrow-tribal. Could push MOR=3-4. Hold LOW since 'crusader' nature is genuinely about moral universalism (e.g. abolitionist-style).
138,Optimistic Challenger,T1,LOW,N,N,N,3,1,2,1,4,1,4,2,1,2,1,1,4,2,5,2,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,Optimistic Challenger coding consistent.
139,Civic Assimilationist,T1,LOW,N,N,N,4,2,4,2,1,3,3,1,4,2,3,1,2,1,3,1,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,Civic Assimilationist CU=1/sal=3 strongly assimilationist. Coding consistent.
140,Market Green Modernist,T1,MEDIUM,Y,N,N,4,2,1,2,5,2,4,2,5,2,4,2,1,1,5,2,1,2,1,1,,,,,,,,,,,,,,,,,4,2,,,,,ONT_S,"Market Green Modernist ONT_S=1 anti-institutional but Market-Green is institutional-mechanism (carbon pricing, regulatory infrastructure) reformer. Pattern A: green-market reformers are institutionalist. ONT_S=4 fits."
141,Black Voter,T2,LOW,N,N,N,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,Identity-primary archetype — policy-flat per ADR-006. PF=5/TRB=5 captures identity-fusion. Resolver gates by anchor + demographic.
142,White Grievance Voter,T2,LOW,N,N,N,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,Identity-primary archetype — policy-flat per ADR-006. Consistent.
143,Evangelical Voter,T2,LOW,N,N,N,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,Identity-primary archetype — policy-flat per ADR-006. Consistent.
144,LGBTQ Voter,T2,LOW,N,N,N,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,Identity-primary archetype — policy-flat per ADR-006. Consistent.
145,Feminist Voter,T2,LOW,N,N,N,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,Identity-primary archetype — policy-flat per ADR-006. Consistent.
146,Male Grievance Voter,T2,LOW,N,N,N,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,Identity-primary archetype — policy-flat per ADR-006. Consistent.
